Acanthodesmia_viniculata,Acanthosphaera_spp.,Acrobotrys_teralans,Actinomma_antarcticum,Actinomma_boreale,Actinomma_leptodermum_s.l.,Actinomma_medianum,Actinomma_sol,Actinomma_spp.,Actinomma_trinacria,Amphiplecta_acrostoma,Anomalocantha_dentata,Antarctissa_denticulata,Antarctissa_strelkovi,Stichopilidium_kruegeri,Anthocyrtidium_zanguebaricum,Arachnocorys_umbellifera,Archipilium_orthopterum,Artobotrys_borealis,Artostrobus_annulatus,Artostrobus_joergenseni,Botryocephalina_armata,Botryocyrtis_scutum,Botryopyle_inflata,Botryostrobus_aquilonaris,Botryostrobus_auritus/australis,Callimitra_spp.,Carpocanarium_papillosum,Carpocanistrum_spp.,Cenosphaera_cristata,Cenosphaera_perforata,Cenosphaera_spp.,Ceratocyrtis_histricosa,Circodiscus_microporus,Clathrocanium_coarctatum,Corythospyris_stapedius,Collosphaerid,Cornutella_profunda,Corocalyptra_craspedota,Cubotholus_spp.,Cycladophora_bicornis,Cycladophora_davisiana_cornutoides,Cycladophora_davisiana_davisiana,Cypassis_irregularis,Cyrtopera_laguncula,Dictyophimus_crisiae/hirundo,Dictyophimus_infabricatus,Dictyophimus_killmari,Dictyophimus_macropterus,Didymocyrtis_tetrathalamus,Druppatractus_irregularis,Druppatractus_variabilis,Eucyrtidium_spp.,Heliodiscus_asteriscus,Hexacontium_enthacanthum,Hexacontium_gigantheum,Hexacontium_melpomene,Hexapyle_dodecantha,Hexastylus_spp.,Hymeniastrum_euclidis,Lamprocyclas_hannai,Lamprocyclas_maritalis_s.l.,Lamprocyrtis_nigriniae,Lampromitra_coronata,Litheliidae/Pyloniidae,Larcopyle_buetschlii,Larcopyle_pylomaticus,Larcopyle_weddellium,Larcospira_quadrangula,Larnacilla_typus,Lipmanella_bombus,Lipmanella_dictyoceras,Lirella_melo,Liriospyris_reticulata,Litharachnium_tentorium,Lithelius_minor,Lithelius_nautiloides,Lithocampe_?_furcaspiculata,Lithocampe_?_platycephala,Lithomelissa_setosa,Lithomelissa_laticeps,Lithomelissa_sp._A,Lithomelissa_thoracites,Lophophaena_buetschlii,Lophospyris_pentagona,Peridium_longispinum,Peripyramis_circumtexta,Peromelissa_phalacra,Phormospyris_stabilis,Phormostichoartus_corbula,Phorticium_clevei,Plectacantha_oikiskos,Pseudocubus_obeliscus,Pseudodictyophimus_platycephalus,Pseudodictyophimus_gracilipes,Pterocanium_praetextum_eucolpum,Pterocanium_charybdeum,Pterocorys_clausus/zancleus,Pylospira_octopyle,Rhizoplegma_boreale,Saccospyris_antarctica,Saturnalis_circularis,Schizodiscus_stylotrochoides,Sethoconus_tabulatus,Siphocampe_arachnea,Siphocampe_lineata,Spongaster_tetras,Spongocore_cylindricus,Spongopyle_osculosa,Spongotrochus_glacialis,Stichocorys_seriata,Stichopilium_bicorne,Stylatractus_neptunus,Stylatractus_spp.,Stylochlamydium_asteriscus,Stylochlamydium_venustum,Stylodictya_aculeata,Stylodictya_spp.,Stylodictya_validispina,Stylosphaera_spp.,Styptosphaera_spumacea,Tetrapyle_octacantha/stenozona,Theocorys_veneris,Theocorythium_trachelium,Tessarastrum_straussi,Triceraspyris_antarctica,Trissocyclidae,Trisulcus_triacanthus
0,0,0,0,1.666666667,3.333333333,0,0,0,0,0,0,39.16666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,1.25,0,0,0,0,0,0,0,0,0,0.416666667,0,4.166666667,0,0,0.833333333,0,0,0,0,0,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,2.916666667,0,0,0,0,0,1.25,0.833333333,0,2.083333333,0,0,6.666666667,0,0,0,0,0,0,0,0,0.416666667,0,0,0,0,0,0,0,0,0,2.916666667,0,0,0,0,0,0,0,1.25,5,0,0,0,0,0,0,1.666666667,0,0,0,0,0,0,0,0,4.583333333,0,0
0,0,0,0,1.023017903,1.023017903,0,0,0,0,0,0,53.7084399,0,0,0,0,0,0,0,0.255754476,0,0,0,0,0,0,0,0,4.092071611,0,0,0,0,0,0,0,0,0,0,0.511508951,0,8.95140665,0,0,0.255754476,0,0,0,0,0,0.767263427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.557544757,0,0,0.255754476,0,0,0,0,0,2.046035806,0,3.069053708,0.255754476,0,0,5.115089514,0,0,0,0,0,0,0,0,0.255754476,0,0,0,0,0,0,0,0,0,1.023017903,0,0,0.255754476,0,0,0,0,2.046035806,6.905370844,0,0,0,0,0,0,0.255754476,0,0,0,0,0,0,0,0,5.37084399,0,0
0,0,0,0,0.879765396,2.639296188,0,0,0,0,0,0,52.49266862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6627566,0,0,0,0,0,0,0,0,0,0,0,0,8.797653959,0,0,0.293255132,0,0,0,0,0,0.586510264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.519061584,0,0,0,0,0,0,0,0,0.293255132,0,2.052785924,0.879765396,0,0,4.692082111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46627566,0,0,0.293255132,0,0,0,0,0.293255132,2.93255132,0,0,0,0,0,0,1.759530792,0,0,0,0,0,0,0,0,1.46627566,0,0
0,0,0,3.812316716,0.293255132,0.293255132,0,0,0,0,0,0,0,8.797653959,0,0,0,0,0,0,0.293255132,0,0,4.398826979,0,4.398826979,0,0,0,0,1.46627566,0,0,0,0,0,0,0,3.225806452,0,1.759530792,0,4.985337243,0,0,0.879765396,0,0,0,0,0,2.639296188,1.46627566,0.293255132,0,0,0,0,0,0.586510264,0,1.759530792,0,0,0,2.052785924,1.173020528,0,0,0,0,0,0,0,0,0,0,0.879765396,2.052785924,9.970674487,0,0,2.93255132,0,0,0,0,0,0,0,10.85043988,0,0,0,0,0,0,2.639296188,0.586510264,0,0,0,0,0,0,0,0,0,8.211143695,3.225806452,0,0,0,0,0,3.519061584,1.46627566,0,1.759530792,0,0,5.571847507,0,0.293255132,0,0,0,1.46627566
0,0,0,5.523255814,2.61627907,0,0,0,0,0,0,0,0.290697674,15.69767442,0,0,0,0,0,0,0.290697674,0,0,5.813953488,0,1.453488372,0,0,0,0,0.581395349,0,0,0,0,0,0,0,2.325581395,0,2.906976744,0,6.104651163,0,0,0.290697674,0,0,0,0,0,1.162790698,1.162790698,0,0,0,0,0,0,0.581395349,0,0.872093023,0,0,0,0.290697674,0.872093023,0,0,0,0,0,0,0,0,2.034883721,0,2.325581395,3.197674419,6.976744186,0,1.453488372,0.872093023,0,0,0,0,0,0,0,16.86046512,0,0,0,0,0.290697674,0,0.581395349,0.290697674,0,0.581395349,0,0,0,0,0,0,0,3.488372093,0.872093023,0,0,0,0,0,4.941860465,0.872093023,0,1.162790698,0,0,4.360465116,0,0,0,0,0,0
0,0,0,3.550295858,1.183431953,0.591715976,0,0,0,0,0,0,0,28.69822485,0,0,0,0,0,0,0.295857988,0,0,1.775147929,0,0,0,0,0,0,2.366863905,0,0,0,0,0,0,0,0,0,7.100591716,0,5.917159763,0,0,0,0,0,0,0,0,0.887573964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.183431953,0,0,0,0,0,0,0,0,1.183431953,0.295857988,1.775147929,0.887573964,3.846153846,0,4.142011834,0,0,0,0,0,0,0,0,15.68047337,0,0,0,0,0,0,0,5.325443787,0,0.591715976,0,0,0,0,0,0,0,5.325443787,1.183431953,0,0,0,0,0,2.958579882,0.295857988,0,0,0,0,0.591715976,0,0,0,2.071005917,0,0.295857988
0,0,0,5.066666667,1.333333333,1.066666667,0,0,0,0,0,0,7.2,43.46666667,0,0,0,0,0,0,0.266666667,0,0,1.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,5.866666667,0,0,0.266666667,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0.533333333,0.8,3.466666667,1.066666667,0,0,3.2,0,0,0,0,0,0,0,0,5.866666667,0,0,0,0,0,0,0,1.6,0,3.466666667,0,0,0,0,0,0,0,5.066666667,0.533333333,0,0,0,0,0,1.6,0.8,0,0.266666667,0,0,0,0,0,0,3.733333333,0,0
0,0,0,0.81300813,0.81300813,0,0,0,0,0,0,0,11.38211382,48.7804878,0,0,0,0,0,0,0.81300813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.219512195,0,6.504065041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.406504065,0,0,0,0,0,0,0,0,0,0,4.471544715,0.81300813,0,0,10.56910569,0,0,0,0,0,0,0,0,3.25203252,0,0,0,0,0,0,0,0,0,2.43902439,0,0,0,0,0,0,0,2.032520325,0.81300813,0,0,0,0,0,0.406504065,1.62601626,0,0,0,0,0,0,0,0,2.845528455,0,0
0,0,0,1.340482574,1.072386059,0,0,0,0,0,0,0,6.702412869,47.72117962,0,0,0,0,0,0.536193029,2.412868633,0,0,0,0,4.557640751,0,0,0,0,0.268096515,0,0,0,0,0,0,0,0,0,1.608579088,0,5.898123324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.536193029,0,0,0,0,0,0,0,0,0,0,1.340482574,0,0,0,16.62198391,0,0,0,0,0,0,0,0,2.144772118,0,0,0,0,0,0,0,0,0,1.876675603,0,0.536193029,1.340482574,0,0,0,0,0.268096515,1.340482574,0,0,0,0,0,0.268096515,0.268096515,0,0,0,0,0,0,0,0,1.340482574,0,0
0,0,0,2.024291498,0,0,0,0,0,0,0,0,8.906882591,31.57894737,0,0,0,0,0,2.429149798,1.619433198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4048583,0,8.502024291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.214574899,0,0,0,0,0,0,0,0,0,0,10.52631579,0.4048583,0,0,19.43319838,0,0,0,0,0,0,0,0,2.429149798,0,0,0,0,0,0,0,0,0,0.4048583,0,0,2.429149798,0,0,0,0,2.429149798,1.214574899,0,0,0,0,0,0,0,0,1.619433198,0,0,0,0,0,0,2.429149798,0,0
0,0,0,0.434782609,1.739130435,1.739130435,0,0,0,0,0,0,13.04347826,30.86956522,0,0,0,0,0,0,3.043478261,0,0,0,0,0,0,0,0,5.217391304,0,0,0,0,0,0,0,0,0,0,1.304347826,0,8.695652174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.869565217,0,0,0,0,0,0,0,0,0.869565217,2.173913043,4.347826087,1.739130435,0,0,8.260869565,0,0,0,0,0,0,0,0,0.869565217,0,0,0,0,0,0,0,0,0,0.869565217,0,0.434782609,0.869565217,0,0,0,0,3.913043478,3.913043478,0,0,0,0,0,0.434782609,0.434782609,0,0,0,0,0,0,0,0,3.913043478,0,0
0,0,0,0.765306122,2.551020408,0.765306122,0,0,0,0,0,0,14.28571429,36.2244898,0,0,0,0,0,0.255102041,0.765306122,0,0,0,0,0.255102041,0,0,0,3.571428571,0,0,0,0,0,0,0,0,0,0,0,0,10.20408163,0,0,1.020408163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06122449,0,0,0,0,0,0,0,0,0,2.040816327,5.102040816,2.551020408,0,0,6.887755102,0,0,0,0,0,0,0,0,1.275510204,0,0,0,0,0,0,0,0,0,0.510204082,0,0.765306122,0,0,0,0,0,1.275510204,2.295918367,0,0,0,0,0,0,0.765306122,0,0,0,0,0,0,0,0,2.806122449,0,0
0,0,0,0.790513834,1.581027668,0.790513834,0,0,0,0,0,0,9.486166008,52.96442688,0,0,0,0,0,0,0.395256917,0,0,0,0,0.395256917,0,0,0,0.790513834,0,0,0,0,0,0,0,0,0,0,0.790513834,0,6.324110672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.976284585,0,0,0,0,0,0,0,0,0.395256917,0.790513834,3.557312253,2.766798419,0,0,5.138339921,0,0,0,0,0,0,0,0,1.581027668,0,0,0,0,0,0,0,0,0,1.976284585,0,0,0,0,0,0,0,4.347826087,1.976284585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.185770751,0,0
0,0,0,1.944444444,0.277777778,0,0,0,0,0,0,0,2.222222222,60,0,0,0,0,0,0.277777778,1.944444444,0,0,0.277777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.388888889,0,4.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333,0,0,0,0,0,0,0,0,0,0.277777778,2.5,0.833333333,0,0,11.11111111,0,0,0,0,0,0,0,0,3.055555556,0,0,0,0,0,0,0,0,0,2.5,0,0,1.666666667,0,0,0,0,2.777777778,0.277777778,0,0,0,0,0,0.555555556,0,0,0,0,0,0,0,0,0,0.833333333,0,0
0,0,0,1.115241636,0.371747212,0,0,0,0,0,0,0,2.973977695,59.10780669,0,0,0,0,0,0,2.973977695,0,0,0.743494424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.230483271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371747212,0,0,0,0,0,0,0,0,0,0,4.460966543,1.486988848,0,0,15.6133829,0,0,0,0,0,0,0,0,3.345724907,0,0,0,0,0,0,0,0,0,1.115241636,0,0,0,0,0,0,0,0.371747212,0.743494424,0,0,0,0,0,0,0,0,1.486988848,0,0,0,0,0,0,1.486988848,0,0
