O_10,O_100,O_200,O_300,O_400,O_500,N_10,N_100,N_200,N_300,N_400,N_500,P_10,P_100,P_200,P_300,P_400,P_500,Si_10,Si_100,Si_200,Si_300,Si_400,Si_500,Sal_10,Sal_100,Sal_200,Sal_300,Sal_400,Sal_500,T_10,T_100,T_200,T_300,T_400,T_500,Den_10,Den_100,Den_200,Den_500,Den_1000,Depth_27.1,Depth_27.3,Depth_27.6,Depth_27.9,MLD_Sum,MLD_Win
295.81535,297.53918,285.1935,261.80596,239.13987,229.54345,17.64073,20.62429,25.73273,27.57833,29.95871,30.91844,1.3095,1.48471,1.67756,1.84074,1.96151,2.16674,4.74301,8.54958,16.81983,22.20748,29.52687,38.68358,33.78142,33.85255,33.98177,34.12303,34.20495,34.26525,6.70845,4.55698,3.32313,3.15561,2.85068,2.7446,26.533933,26.955188,27.207817,27.516651,27.82367,146.34323,254.07712,599.11097,1147.648,44.33,24.912
291.8105,293.05531,282.10033,257.51649,234.45179,223.27823,15.08546,19.89751,25.57812,27.78746,31.04304,31.73008,1.31919,1.59726,1.73816,1.92933,2.0332,2.24121,3.91195,8.53839,16.97204,23.1546,30.94186,39.32498,33.73956,33.83316,33.94984,34.10971,34.19087,34.27841,7.11129,4.50281,3.08548,3.01446,2.74164,2.63973,26.435514,26.959277,27.212996,27.514519,27.85962,145.85547,264.12921,598.28094,1043.8367,34.305,27.325
291.81569,293.05842,282.10551,257.51931,234.44973,223.27542,15.0875,19.89874,25.5791,27.78799,31.04313,31.73031,1.31926,1.59731,1.73819,1.92933,2.03322,2.24122,3.91263,8.53902,16.97341,23.15618,30.94444,39.32798,33.73959,33.83317,33.94986,34.10972,34.19088,34.27842,7.11058,4.50276,3.08562,3.01446,2.74161,2.6397,26.435626,26.959302,27.213013,27.51456,27.85965,145.84425,264.10757,598.22119,1043.801,34.317,27.342
275.94472,272.14973,269.10648,254.42823,238.84429,229.56181,10.52865,14.14146,17.85113,22.60862,24.13927,26.19475,1.02037,1.01175,1.15455,1.43327,1.48755,1.78199,1.80959,3.72915,6.93687,11.47535,15.23097,18.74699,34.32579,34.65705,34.64776,34.63162,34.55915,34.50263,12.09809,10.85433,9.59745,8.76101,7.82378,7.04305,26.190725,26.575735,26.843219,27.187311,27.55114,386.34489,625.58883,1057.4394,1644.7998,49.671,73.163
295.22005,282.51198,258.8043,240.28309,227.54073,223.02606,14.33302,16.19636,20.11163,23.41139,25.74451,28.99975,1.37789,1.37568,1.2865,1.60063,1.75046,1.87842,2.92586,6.16363,13.46368,16.68207,23.76467,29.79602,33.78167,33.93706,34.06512,34.18075,34.2346,34.26764,8.13681,6.49581,5.30178,5.03826,4.59043,3.98047,26.505392,26.869591,27.142416,27.411055,27.71177,192.63365,353.57327,741.42517,1366.5335,47.079,42.071
288.77926,273.16251,249.1922,240.22907,237.02845,228.9828,14.26413,16.5106,20.36199,22.85078,25.48286,28.35366,1.12904,1.08988,1.05962,1.28351,1.45579,1.60214,2.40892,3.73825,9.60513,12.66455,17.86127,22.80187,33.79386,33.95188,34.13589,34.20903,34.23227,34.25405,8.61243,7.18634,6.12062,5.89067,5.13147,4.45191,26.41162,26.79004,27.076497,27.347466,27.66769,231.53789,432.69263,824.6791,1461.3543,53.756,58.361
288.9274,273.40892,249.37326,240.34989,237.1265,229.00725,14.31277,16.57415,20.44756,22.9169,25.55214,28.4096,1.12862,1.08989,1.0608,1.28519,1.45761,1.60466,2.41464,3.73482,9.63805,12.74105,17.94721,22.91001,33.79332,33.94793,34.13284,34.207,34.23095,34.2536,8.5901,7.15908,6.08619,5.86025,5.10527,4.43105,26.412693,26.790855,27.077797,27.349245,27.66904,229.8778,430.9165,821.91637,1459.4643,53.878,58.335
281.83181,264.69139,239.10646,239.50503,249.54802,235.76696,13.7413,15.96858,19.709,21.41329,24.09991,26.67155,0.77834,0.77871,0.87064,0.97947,1.14202,1.31437,2.11805,2.25792,6.13125,8.67918,10.98265,14.76655,34.01621,34.26507,34.40688,34.42679,34.39856,34.37046,10.09675,9.04579,8.31925,7.73174,6.89562,6.03378,26.321499,26.699897,26.939302,27.211856,27.57179,361.33809,590.61991,1010.8548,1602.5969,65.533,58.285
287.27394,283.44869,261.01322,257.11574,250.2249,241.73314,13.49542,15.38175,19.42959,21.58245,24.21769,26.53907,0.97888,1.09739,1.26996,1.39211,1.55708,1.70097,1.16248,1.39082,4.8217,8.08145,11.30558,15.89625,34.16273,34.32964,34.49157,34.47059,34.43082,34.37265,9.52538,9.01848,8.80573,8.20579,7.3728,6.43915,26.439478,26.683554,26.847613,27.13901,27.55049,441.95684,666.53473,1059.6882,1636.3789,42.474,55.176
287.98618,283.92277,273.81693,259.33555,242.48068,232.88182,12.84096,14.47966,18.19552,19.86827,23.1538,26.38255,1.02885,1.1479,1.30163,1.41977,1.61086,1.79611,1.52547,1.77836,5.11798,7.71808,13.4795,23.19706,34.09985,34.20341,34.31757,34.31124,34.33262,34.309,8.8528,7.84587,7.17307,6.56878,5.9363,5.2168,26.523124,26.751447,26.939647,27.21639,27.58934,352.94141,599.30732,998.07207,1601.2764,74.505,134.934
