O_10,O_100,O_200,O_300,O_400,O_500,N_10,N_100,N_200,N_300,N_400,N_500,P_10,P_100,P_200,P_300,P_400,P_500,Si_10,Si_100,Si_200,Si_300,Si_400,Si_500,Sal_10,Sal_100,Sal_200,Sal_300,Sal_400,Sal_500,T_10,T_100,T_200,T_300,T_400,T_500,Den_10,Den_100,Den_200,Den_500,Den_1000,Depth_27.1,Depth_27.3,Depth_27.6,Depth_27.9,MLD_Sum,MLD_Win
347.73936,278.40262,230.58194,208.74547,203.93558,204.70028,21.18206,30.79672,32.02352,32.36303,32.65209,32.79428,1.4688,1.96322,2.02674,2.10247,2.11026,2.1154,68.36893,81.09415,88.81812,93.09363,96.17927,101.56801,33.77224,34.43472,34.58909,34.66746,34.68762,34.69867,-0.8227,-1.16445,0.03832,0.65596,0.79331,0.82871,27.405314,27.981925,28.065441,28.1372,28.21298,-23.46873,-7.95158,35.50987,70.83149,16.053,18.191
276.46338,279.46595,272.53868,272.12803,270.94373,260.98575,10.03159,16.13687,17.90621,18.62759,18.86169,21.54797,0.71889,0.88278,1.09642,1.21175,1.32054,1.28419,1.4524,2.41583,5.43106,5.59632,8.90307,11.47621,34.3309,34.3628,34.37465,34.37863,34.37714,34.35709,11.3874,8.16354,7.45007,7.34125,7.10746,6.69593,26.289064,26.818186,26.994376,27.08994,27.45889,480.76455,808.92155,1197.3465,,34.048,128.035
280.90495,281.34218,274.51785,274.52834,270.54229,262.37871,11.88552,14.9642,16.63973,19.92917,18.98443,18.48042,0.6346,0.87797,1.01719,1.27272,1.40795,1.2614,1.63235,3.63256,5.85254,6.93926,10.48086,10.98489,34.28753,34.34958,34.39823,34.38823,34.35891,34.34105,10.21786,7.97361,7.5425,7.26455,6.92438,6.53591,26.322097,26.872346,27.00671,27.114488,27.51936,426.77866,702.42699,1086.5079,,38.982,236.013
258.67417,243.41015,242.04673,245.48047,246.5626,252.17705,1.41114,9.57937,13.00445,15.1762,17.85629,20.64296,0.24322,0.63244,0.70944,0.96591,1.10898,0.9841,2.34405,3.42201,4.40697,5.61074,6.871,10.30935,34.71128,34.77351,34.73967,34.65619,34.57106,34.51155,15.68094,11.46386,10.23078,9.28191,8.52939,7.9851,25.692895,26.604696,26.823029,27.022304,27.36938,644.23385,905.67035,1274.843,1901.913,25.596,110.656
218.33282,204.98766,196.40374,193.24328,194.57097,194.60805,0.26036,3.03123,7.40341,11.27897,15.07313,19.44427,0.13952,0.2812,0.65173,0.80824,0.96417,1.14769,1.73642,2.06674,3.29653,4.54726,6.18811,8.30675,35.67381,35.56887,35.42859,35.24886,35.02382,34.83054,22.71546,17.95821,15.45422,13.50726,11.6679,10.13597,24.515343,25.704689,26.202629,26.858916,27.35716,711.31207,929.0347,1293.457,1877.434,31.287,91.447
342.24422,265.87684,203.8714,194.25786,194.5145,194.8961,25.55477,30.23054,31.24272,32.3999,32.45919,32.59851,1.60892,1.95989,2.04318,2.15165,2.15247,2.1412,58.62,72.95939,87.67695,92.47917,96.38844,96.9744,33.74706,34.39191,34.64637,34.69977,34.7128,34.71864,-0.47878,-0.85804,1.11801,1.3445,1.32823,1.26068,27.402414,27.923871,28.023357,28.088018,28.14885,-31.88242,-9.04831,43.96854,85.12177,9.754,16.604
353.53921,286.37347,260.90843,273.0951,271.18411,275.43373,19.69147,28.02892,30.19091,30.71528,30.75544,30.7756,1.32877,1.79271,1.9165,1.94112,1.97188,2.01391,57.77638,71.76759,74.66808,75.86706,75.4397,76.3177,34.29165,34.43215,34.52077,34.55835,34.61401,34.7749,-0.94433,-1.41253,-1.44363,-1.649,-1.85877,-1.95835,27.818091,27.950207,28.022059,28.645902,,,,,53.58514,34.32,32.976
352.83158,285.67982,260.90765,273.14038,269.89912,276.12848,19.80993,28.19073,30.27003,30.74898,30.78062,30.77657,1.33671,1.81703,1.93383,1.94405,1.97228,2.00669,58.4489,72.06608,75.13471,75.74747,75.32382,75.93944,34.30769,34.44396,34.5295,34.56619,34.6185,34.77774,-0.95854,-1.41757,-1.47684,-1.679,-1.89373,-1.96952,27.824207,27.956206,28.031799,28.652925,,,,,50.73664,34.456,33.534
351.26506,284.24187,260.64646,271.27572,265.26339,271.09589,20.11717,28.50456,30.4432,30.89379,30.97597,30.94934,1.35847,1.86214,1.9717,1.96808,1.97444,2.01851,60.01766,72.69348,76.15917,75.76109,75.79479,76.15456,34.35032,34.48805,34.55986,34.59763,34.6775,34.7892,-0.94433,-1.39878,-1.5557,-1.77186,-1.92379,-1.96741,27.843385,27.976863,28.07554,28.653458,,,,,32.81213,,33.477
352.56769,285.6612,260.31514,271.90377,268.25651,273.78977,19.93354,28.18563,30.27998,30.76231,30.80819,30.80632,1.34437,1.81607,1.93458,1.9486,1.97809,2.01215,58.36303,71.96544,75.18613,75.96448,75.70003,76.48623,34.30017,34.44064,34.52552,34.56309,34.61667,34.77343,-0.92005,-1.39557,-1.45533,-1.66075,-1.87287,-1.96192,27.819016,27.955611,28.029494,28.643772,,,,,51.58167,33.854,32.455
238.48736,228.63617,225.60486,218.71844,211.60596,211.78128,0.06191,9.38123,8.77653,13.01895,17.17265,18.33336,0.20173,0.46296,0.74331,0.8874,1.1268,1.2797,1.81185,5.3881,5.381,6.75716,7.28496,10.32458,35.33233,35.26083,35.12004,34.96108,34.78781,34.65334,18.857,14.15938,12.68028,11.45397,10.18863,9.04452,25.328939,26.388975,26.600077,26.926515,27.2841,752.51716,1003.9151,1396.1897,1984.4275,,126.199
228.07626,235.50687,222.31983,207.29964,206.53467,212.83872,0.20884,2.43442,8.98254,13.96009,17.63844,20.24005,0.17234,0.4632,0.7948,0.95747,1.14356,1.35244,1.96807,2.88931,4.0562,6.24909,7.74037,8.56672,35.52141,35.35589,35.16363,34.91608,34.69181,34.54311,21.26205,15.18282,13.22538,11.4716,9.81055,8.4847,24.820153,26.266407,26.542496,26.953891,27.31441,700.32869,955.30153,1302.9946,1973.5324,27.398,48.393
265.62956,270.0511,269.3354,271.48015,281.48338,259.14624,4.72368,11.38744,13.08192,18.75656,19.78556,18.59265,0.31617,0.80087,1.04445,1.32233,1.64474,1.7721,1.47424,2.48433,4.37823,5.10199,7.14166,8.35369,34.38874,34.40145,34.41316,34.39592,34.36356,34.33128,13.85905,8.40799,7.57109,7.19855,6.84144,6.30335,25.829813,26.814872,26.964983,27.108524,27.50619,461.72035,726.1315,1119.9232,1770.3831,26.299,140.221
263.9193,267.91889,267.14555,269.56296,275.33009,262.98512,4.44755,11.6166,13.64507,17.8907,19.38407,18.64212,0.32393,0.71673,1.06486,1.21844,1.49193,1.53686,2.00979,3.25083,5.55822,6.00571,7.89031,8.26082,34.33653,34.33224,34.37754,34.37155,34.34454,34.32036,14.01342,8.08614,7.42776,7.1297,6.77208,6.23439,25.770746,26.819545,26.967118,27.09582,27.52098,472.00227,726.05692,1083.3382,1723.2032,27.663,115.203
275.08391,278.21339,273.18708,273.22208,267.74281,263.87536,8.09978,14.07993,16.4821,17.64297,18.28469,20.99224,0.6055,0.80723,0.99034,1.13379,1.30996,1.37287,1.76751,3.21829,5.49987,5.82625,9.4711,13.01649,34.30758,34.32848,34.37829,34.36888,34.33399,34.2963,12.76809,7.67071,7.25799,7.09957,6.77255,6.11366,25.997858,26.858123,27.005,27.101156,27.50251,468.3777,736.16654,1107.4129,1746.7976,27.624,89.88
257.23094,255.66642,253.17227,251.98851,258.14168,252.5628,2.26719,10.42782,13.02194,16.79378,18.84489,19.01388,0.24939,0.61808,0.9491,1.10022,1.34405,1.2627,2.17697,3.70585,5.60319,6.21924,7.34642,9.06923,34.48245,34.51943,34.49666,34.43499,34.40986,34.38661,14.707,9.16763,8.14698,7.56678,7.22358,6.87358,25.667663,26.737001,26.90085,27.050623,27.47346,534.25699,794.59362,1155.9718,1770.0663,29.495,108.584
232.19288,230.54147,224.64452,210.49094,203.9118,199.41674,0.29155,8.27866,11.57263,15.18107,19.91143,21.12077,0.19092,0.43697,0.58005,0.83531,1.01569,1.24971,1.47603,2.70985,3.49022,6.11792,6.19031,10.38103,35.33153,35.33132,35.24634,35.10498,34.93471,34.78277,18.78729,14.31152,13.16818,12.09171,10.8698,9.70065,25.266472,26.394621,26.595631,26.928674,27.36011,701.70037,922.9958,,1881.255,31.283,132.853
227.73368,222.93473,213.429,200.08142,194.77576,192.82862,0.57234,7.80106,10.35279,14.69775,19.14203,21.50369,0.19278,0.43812,0.62663,0.81624,1.04026,1.31418,1.77097,3.08156,3.47776,5.58271,7.16606,11.32238,35.44933,35.3844,35.26349,35.11088,34.94173,34.78875,20.22551,14.97784,13.60678,12.27657,10.96245,9.6584,25.171332,26.2971,26.548226,26.938355,27.36522,694.86505,903.00889,1299.5711,1884.3093,30.534,72.145
228.62175,221.4242,211.35133,197.87109,193.05463,191.58015,0.73886,7.99941,10.0957,14.7156,19.13002,21.79344,0.18372,0.44325,0.63041,0.80039,1.03161,1.3223,1.94702,3.42452,3.50392,5.40332,7.40248,11.49678,35.4424,35.37596,35.25816,35.10526,34.93361,34.78897,20.4862,14.95632,13.53715,12.22976,10.86257,9.56977,25.142564,26.29312,26.551369,26.948383,27.37124,682.20793,901.10113,1298.9825,1885.6117,28.917,78.673
229.01019,222.032,212.48361,198.60543,193.747,191.88599,0.72137,8.1643,10.29498,14.73982,19.25145,21.82762,0.18237,0.44509,0.62609,0.79812,1.02255,1.31285,1.95912,3.47884,3.54295,5.48786,7.25997,11.44633,35.43573,35.37325,35.25654,35.10498,34.93368,34.79048,20.42545,14.87542,13.51225,12.22406,10.86654,9.58201,25.145641,26.303864,26.554551,26.946795,27.37109,684.33127,901.27217,1299.0549,1886.052,29.052,79.816
224.22622,222.02211,207.31448,203.4552,197.7829,198.54132,0.24136,10.22612,9.04682,13.86489,16.83399,19.85842,0.21619,0.59877,0.74387,0.96827,1.13113,1.34022,3.79825,6.43024,4.25668,6.45365,8.7708,9.64089,35.56752,35.45847,35.32774,35.13367,34.95301,34.76529,20.63584,16.14373,14.39712,12.9227,11.29189,9.79572,25.035604,26.127667,26.414201,26.898351,27.27821,786.15329,1028.0192,1385.0949,1951.4952,26.601,100.008
279.14921,281.12297,274.8291,274.64404,270.09403,262.93827,10.85098,14.96939,16.82297,19.08577,18.68057,19.77137,0.63786,0.85984,1.01815,1.21392,1.35308,1.27382,1.4858,3.30863,5.60225,6.33125,10.02157,12.11718,34.30226,34.351,34.38903,34.38452,34.35915,34.33929,10.95762,7.88017,7.41236,7.21913,6.93751,6.5094,26.23588,26.871472,27.010552,27.102056,27.49272,459.63309,737.06636,1135.354,,36.543,140.225
300.89723,298.18298,290.31562,276.33506,255.40656,235.5998,20.13549,20.34244,23.2216,24.84701,27.32267,29.00679,1.3764,1.35742,1.49244,1.58789,1.73255,1.89401,2.55421,2.92607,7.18675,9.7365,16.58374,25.52449,34.02553,34.09016,34.13895,34.168,34.19596,34.23192,6.69887,5.90819,5.21318,4.81257,4.41982,4.06566,26.787188,26.968556,27.141663,27.385518,27.74829,156.67482,363.25136,764.19782,1352.4157,41.743,151.567
320.16462,304.75337,272.45736,243.48838,218.57786,201.61636,23.74105,26.18574,29.76111,31.07028,32.61924,33.19361,1.48398,1.71642,1.91243,1.99455,2.09041,2.07226,14.79748,21.9481,37.78631,45.90787,56.31835,63.20502,33.87567,33.93899,34.11581,34.25,34.3739,34.45048,3.97984,2.65106,2.18972,2.43527,2.45911,2.45339,27.089977,27.32897,27.525917,27.758683,27.94046,33.24583,95.24947,278.26555,792.14632,45.29,73.699
327.13645,297.80704,246.94276,222.2651,205.76404,195.36253,24.50764,28.68662,31.03612,31.98373,32.96844,33.23157,1.50297,1.82395,1.97631,2.07643,2.12879,2.06284,27.68498,41.06134,57.24683,65.34828,74.53832,78.79273,33.89015,34.07685,34.37087,34.50025,34.56785,34.61528,2.24218,0.85005,1.63634,1.93932,1.97904,1.98854,27.221783,27.540805,27.718797,27.892498,28.01351,-7.40892,39.8957,139.88205,452.53086,38.841,42.193
336.41621,302.97674,219.97886,194.9232,186.48022,183.34054,23.31397,30.16171,33.32132,33.65585,33.28166,32.84369,1.52933,2.12547,2.26212,2.32876,2.29501,2.25448,25.52231,55.18047,67.91336,76.47911,80.2677,82.91901,33.88381,34.14173,34.49077,34.60983,34.6584,34.68925,1.27255,-0.46172,1.47076,1.8841,1.94704,1.93356,27.277478,27.662711,27.819146,27.950477,28.04966,-23.9003,11.58402,90.36676,307.16679,35.749,34.662
341.53798,274.41597,227.48877,215.00267,205.14454,202.27508,24.70186,29.35196,31.34792,31.72367,31.97344,31.84783,1.6609,1.96812,2.09239,2.15331,2.16308,2.1849,57.01193,68.93519,80.99386,85.80224,90.32166,94.35424,33.88956,34.3607,34.57139,34.66106,34.68596,34.71223,-1.06132,-0.92335,0.17058,0.66541,0.73268,0.93529,27.575459,27.902946,28.01033,28.181825,28.17536,,,14.77095,86.97156,19.829,15.28
282.09528,278.38665,274.05746,272.55924,270.24985,257.49212,12.24578,15.6227,19.92418,20.78355,21.82217,24.30561,0.86325,1.12686,1.32898,1.46588,1.48317,1.56039,1.81213,2.81357,6.08144,7.31345,8.48543,11.82094,34.31336,34.34253,34.3488,34.32408,34.28195,34.27747,10.04864,8.32995,7.0943,6.66447,6.23777,5.99827,26.475497,26.820864,27.017599,27.174689,27.55041,285.66012,659.7558,1060.3645,1696.4489,51.239,252.731
334.3029,307.55256,229.93126,200.56025,188.89809,183.65176,23.25482,29.72526,33.07267,33.72651,33.473,33.11299,1.52435,2.09954,2.24147,2.33065,2.30976,2.27048,20.45973,49.22769,61.6847,71.32695,75.58275,78.15023,33.87882,34.09147,34.41314,34.56303,34.62685,34.6691,1.6314,-0.15521,1.43377,1.94695,2.04965,2.06144,27.246031,27.596802,27.757121,27.912977,28.02826,-21.46252,28.06867,109.59066,389.70795,38.699,36.175
